days,class_name,stan_order,color,amount1,amount2,amount3,,,,,,,,,,,,,,,
5,护理,护理等级,,,,,,,,,,,,,,,,,,,
5,处置,吸氧,,,,,,,,,,,,,,,,,,,
5,膳食,低盐低脂饮食,,,,,,,,,,,,,,,,,,,
5,膳食,低盐低脂糖尿病饮食,,,,,,,,,,,,,,,,,,,
5,药物医嘱,抗菌药物,,,,,,,,,,,,,,,,,,,
5,药物医嘱,祛痰剂,,,,,,,,,,,,,,,,,,,
6,护理,按呼吸护理常规,,,,,,,,,,,,,,,,,,,
6,护理,护理等级,,,,,,,,,,,,,,,,,,,
6,处置,吸氧,,,,,,,,,,,,,,,,,,,
6,膳食,低盐低脂饮食,,,,,,,,,,,,,,,,,,,
6,膳食,低盐低脂糖尿病饮食,,,,,,,,,,,,,,,,,,,
6,药物医嘱,抗菌药物,,,,,,,,,,,,,,,,,,,
6,药物医嘱,祛痰剂,,,,,,,,,,,,,,,,,,,
7,护理,按呼吸护理常规,,,,,,,,,,,,,,,,,,,
7,护理,护理等级,,,,,,,,,,,,,,,,,,,
7,处置,吸氧,,,,,,,,,,,,,,,,,,,
7,膳食,低盐低脂饮食,,,,,,,,,,,,,,,,,,,
7,膳食,低盐低脂糖尿病饮食,,,,,,,,,,,,,,,,,,,
7,药物医嘱,抗菌药物,,,,,,,,,,,,,,,,,,,
7,药物医嘱,祛痰剂,,,,,,,,,,,,,,,,,,,
8,护理,按呼吸护理常规,,,,,,,,,,,,,,,,,,,
8,护理,护理等级,,,,,,,,,,,,,,,,,,,
8,处置,吸氧,,,,,,,,,,,,,,,,,,,
8,膳食,低盐低脂饮食,,,,,,,,,,,,,,,,,,,
8,膳食,低盐低脂糖尿病饮食,,,,,,,,,,,,,,,,,,,
8,药物医嘱,抗菌药物,,,,,,,,,,,,,,,,,,,
8,药物医嘱,祛痰剂,,,,,,,,,,,,,,,,,,,
9,护理,按呼吸护理常规,,,,,,,,,,,,,,,,,,,
9,护理,护理等级,,,,,,,,,,,,,,,,,,,
9,处置,吸氧,,,,,,,,,,,,,,,,,,,
9,膳食,低盐低脂饮食,,,,,,,,,,,,,,,,,,,
9,膳食,低盐低脂糖尿病饮食,,,,,,,,,,,,,,,,,,,
9,药物医嘱,抗菌药物,,,,,,,,,,,,,,,,,,,
9,药物医嘱,祛痰剂,,,,,,,,,,,,,,,,,,,
10,护理,按呼吸护理常规,,,,,,,,,,,,,,,,,,,
10,护理,护理等级,,,,,,,,,,,,,,,,,,,
10,处置,吸氧,,,,,,,,,,,,,,,,,,,
10,膳食,低盐低脂饮食,,,,,,,,,,,,,,,,,,,
10,膳食,低盐低脂糖尿病饮食,,,,,,,,,,,,,,,,,,,
10,药物医嘱,抗菌药物,,,,,,,,,,,,,,,,,,,
10,药物医嘱,祛痰剂,,,,,,,,,,,,,,,,,,,
11,护理,按呼吸护理常规,,,,,,,,,,,,,,,,,,,
11,护理,护理等级,,,,,,,,,,,,,,,,,,,
11,处置,吸氧,,,,,,,,,,,,,,,,,,,
11,膳食,低盐低脂饮食,,,,,,,,,,,,,,,,,,,
11,膳食,低盐低脂糖尿病饮食,,,,,,,,,,,,,,,,,,,
11,药物医嘱,抗菌药物,,,,,,,,,,,,,,,,,,,
11,药物医嘱,祛痰剂,,,,,,,,,,,,,,,,,,,
12,护理,按呼吸护理常规,,,,,,,,,,,,,,,,,,,
12,护理,护理等级,,,,,,,,,,,,,,,,,,,
12,处置,吸氧,,,,,,,,,,,,,,,,,,,
12,膳食,低盐低脂饮食,,,,,,,,,,,,,,,,,,,
12,膳食,低盐低脂糖尿病饮食,,,,,,,,,,,,,,,,,,,
12,药物医嘱,抗菌药物,,,,,,,,,,,,,,,,,,,
12,药物医嘱,祛痰剂,,,,,,,,,,,,,,,,,,,
13,护理,按呼吸护理常规,,,,,,,,,,,,,,,,,,,
13,护理,护理等级,,,,,,,,,,,,,,,,,,,
13,处置,吸氧,,,,,,,,,,,,,,,,,,,
13,膳食,低盐低脂饮食,,,,,,,,,,,,,,,,,,,
13,膳食,低盐低脂糖尿病饮食,,,,,,,,,,,,,,,,,,,
13,药物医嘱,抗菌药物,,,,,,,,,,,,,,,,,,,
13,药物医嘱,祛痰剂,,,,,,,,,,,,,,,,,,,
14,护理,按呼吸护理常规,,,,,,,,,,,,,,,,,,,
14,护理,护理等级,,,,,,,,,,,,,,,,,,,
14,处置,吸氧,,,,,,,,,,,,,,,,,,,
14,膳食,低盐低脂饮食,,,,,,,,,,,,,,,,,,,
14,膳食,低盐低脂糖尿病饮食,,,,,,,,,,,,,,,,,,,
14,药物医嘱,抗菌药物,,,,,,,,,,,,,,,,,,,
14,药物医嘱,祛痰剂,,,,,,,,,,,,,,,,,,,
